"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.099546119E2,6.250136102E1,2.543555397E1,1.778956147E2,1.975450065E2,1.877735360E0,4.130646515E1,1.776891885E-1,4.748651458E0,5.109750736E0,-1.000000000E0
1.109546157E2,6.250137049E1,2.543556901E1,1.779637945E2,1.976131765E2,1.634154807E0,4.130646515E1,1.790505775E-1,4.748651458E0,5.815028458E0,-1.000000000E0
1.119546193E2,6.250137925E1,2.543558754E1,1.773510841E2,1.970004566E2,1.573023078E0,4.130646515E1,1.806467998E-1,4.748651453E0,5.764195275E0,-1.000000000E0
1.129546223E2,6.250138948E1,2.543560936E1,1.770993189E2,1.967486803E2,1.614773215E0,4.130646515E1,1.821694614E-1,4.748651428E0,5.941247320E0,-1.000000000E0
1.139546264E2,6.250140065E1,2.543562651E1,1.772697808E2,1.969191308E2,1.617750461E0,4.060186005E1,1.835664283E-1,4.748651438E0,6.028828694E0,-1.000000000E0
1.149546300E2,6.250141031E1,2.543564391E1,1.770938234E2,1.967431632E2,1.611073373E0,4.060186005E1,1.852791885E-1,4.748651466E0,5.711237956E0,-1.000000000E0
1.159546344E2,6.250142113E1,2.543566765E1,1.773834940E2,1.970328220E2,1.629348984E0,4.060186005E1,1.865978653E-1,4.748651471E0,6.097306031E0,-1.000000000E0
1.169546369E2,6.250142985E1,2.543568505E1,1.778656721E2,1.975149908E2,1.373836988E0,4.060186005E1,1.877275897E-1,4.748651503E0,6.070493932E0,-1.000000000E0
1.179546410E2,6.250143685E1,2.543570099E1,1.781810609E2,1.978303718E2,1.256310087E0,4.060186005E1,1.896291362E-1,4.748651497E0,5.442874096E0,-1.000000000E0
1.189546443E2,6.250144973E1,2.543572536E1,1.779203164E2,1.975696136E2,1.527926138E0,4.060186005E1,1.909084980E-1,4.748651472E0,5.270448158E0,-1.000000000E0
1.199546473E2,6.250145698E1,2.543574471E1,1.780099543E2,1.976592433E2,1.345827494E0,4.060186005E1,1.927478107E-1,4.748651480E0,5.968688833E0,-1.000000000E0
1.209546515E2,6.250146898E1,2.543576936E1,1.779431705E2,1.975924465E2,1.547395769E0,4.060186005E1,1.940742424E-1,4.748651476E0,5.551096511E0,-1.000000000E0
